run,method,b,omega,residual
1,Self_DE,0.1868428427405838,1.7625185041477203,29.92526282845394
2,Self_DE,0.18682866780490084,1.7625205676447915,29.925262827690602
3,Self_DE,0.18683577898350529,1.7625195049309117,29.925262827048666
4,Self_DE,0.18683661854286562,1.76251906432038,29.925262827023623
5,Self_DE,0.18685127889789885,1.7625187691669306,29.92526283001259
6,Self_DE,0.18510093511876152,1.764926837161407,29.925422761615867
7,Self_DE,0.18683920920238392,1.7625187401665148,29.925262849674844
8,Self_DE,0.1868375714529553,1.7625235408460307,29.925262832992285
9,Self_DE,0.186837454665749,1.7625190614733797,29.9252628270335
10,Self_DE,0.18683060947323557,1.7625209678971339,29.925262827633304
11,Self_DE,0.1868227247236603,1.762504466886178,29.92526283451896
12,Self_DE,0.18679519783883305,1.762578404006951,29.925262934969723
